filename,class,label,filepath
0000 (10).jpg,10,truck,images/train/REAL/0000 (10).jpg
0000 (2).jpg,2,automobile,images/train/REAL/0000 (2).jpg
0000 (3).jpg,3,bird,images/train/REAL/0000 (3).jpg
0000 (4).jpg,4,cat,images/train/REAL/0000 (4).jpg
0000 (5).jpg,5,deer,images/train/REAL/0000 (5).jpg
0000 (6).jpg,6,dog,images/train/REAL/0000 (6).jpg
0000 (7).jpg,7,frog,images/train/REAL/0000 (7).jpg
0000 (8).jpg,8,horse,images/train/REAL/0000 (8).jpg
0000 (9).jpg,9,ship,images/train/REAL/0000 (9).jpg
0000.jpg,1,airplane,images/train/REAL/0000.jpg
0001 (10).jpg,10,truck,images/train/REAL/0001 (10).jpg
0001 (2).jpg,2,automobile,images/train/REAL/0001 (2).jpg
0001 (3).jpg,3,bird,images/train/REAL/0001 (3).jpg
0001 (4).jpg,4,cat,images/train/REAL/0001 (4).jpg
0001 (5).jpg,5,deer,images/train/REAL/0001 (5).jpg
0001 (6).jpg,6,dog,images/train/REAL/0001 (6).jpg
0001 (7).jpg,7,frog,images/train/REAL/0001 (7).jpg
0001 (8).jpg,8,horse,images/train/REAL/0001 (8).jpg
0001 (9).jpg,9,ship,images/train/REAL/0001 (9).jpg
0001.jpg,1,airplane,images/train/REAL/0001.jpg
0002 (10).jpg,10,truck,images/train/REAL/0002 (10).jpg
0002 (2).jpg,2,automobile,images/train/REAL/0002 (2).jpg
0002 (3).jpg,3,bird,images/train/REAL/0002 (3).jpg
0002 (4).jpg,4,cat,images/train/REAL/0002 (4).jpg
0002 (5).jpg,5,deer,images/train/REAL/0002 (5).jpg
0002 (6).jpg,6,dog,images/train/REAL/0002 (6).jpg
0002 (7).jpg,7,frog,images/train/REAL/0002 (7).jpg
0002 (8).jpg,8,horse,images/train/REAL/0002 (8).jpg
0002 (9).jpg,9,ship,images/train/REAL/0002 (9).jpg
0002.jpg,1,airplane,images/train/REAL/0002.jpg
0003 (10).jpg,10,truck,images/train/REAL/0003 (10).jpg
0003 (2).jpg,2,automobile,images/train/REAL/0003 (2).jpg
0003 (3).jpg,3,bird,images/train/REAL/0003 (3).jpg
0003 (4).jpg,4,cat,images/train/REAL/0003 (4).jpg
0003 (5).jpg,5,deer,images/train/REAL/0003 (5).jpg
0003 (6).jpg,6,dog,images/train/REAL/0003 (6).jpg
0003 (7).jpg,7,frog,images/train/REAL/0003 (7).jpg
0003 (8).jpg,8,horse,images/train/REAL/0003 (8).jpg
0003 (9).jpg,9,ship,images/train/REAL/0003 (9).jpg
0003.jpg,1,airplane,images/train/REAL/0003.jpg
0004 (10).jpg,10,truck,images/train/REAL/0004 (10).jpg
0004 (2).jpg,2,automobile,images/train/REAL/0004 (2).jpg
0004 (3).jpg,3,bird,images/train/REAL/0004 (3).jpg
0004 (4).jpg,4,cat,images/train/REAL/0004 (4).jpg
0004 (5).jpg,5,deer,images/train/REAL/0004 (5).jpg
0004 (6).jpg,6,dog,images/train/REAL/0004 (6).jpg
0004 (7).jpg,7,frog,images/train/REAL/0004 (7).jpg
0004 (8).jpg,8,horse,images/train/REAL/0004 (8).jpg
0004 (9).jpg,9,ship,images/train/REAL/0004 (9).jpg
0004.jpg,1,airplane,images/train/REAL/0004.jpg
0005 (10).jpg,10,truck,images/train/REAL/0005 (10).jpg
0005 (2).jpg,2,automobile,images/train/REAL/0005 (2).jpg
0005 (3).jpg,3,bird,images/train/REAL/0005 (3).jpg
0005 (4).jpg,4,cat,images/train/REAL/0005 (4).jpg
0005 (5).jpg,5,deer,images/train/REAL/0005 (5).jpg
0005 (6).jpg,6,dog,images/train/REAL/0005 (6).jpg
0005 (7).jpg,7,frog,images/train/REAL/0005 (7).jpg
0005 (8).jpg,8,horse,images/train/REAL/0005 (8).jpg
0005 (9).jpg,9,ship,images/train/REAL/0005 (9).jpg
0005.jpg,1,airplane,images/train/REAL/0005.jpg
0006 (10).jpg,10,truck,images/train/REAL/0006 (10).jpg
0006 (2).jpg,2,automobile,images/train/REAL/0006 (2).jpg
0006 (3).jpg,3,bird,images/train/REAL/0006 (3).jpg
